input_single,output_single,time_single_ms,input_double,output_double,time_double_ms
4,6.000000,0.011264,4,6.000000,0.010240
8,12.000000,0.011264,8,12.000000,0.010240
16,24.000000,0.011264,16,24.000000,0.010240
32,48.000000,0.011264,32,48.000000,0.010240
64,96.000000,0.011264,64,96.000000,0.010240
128,192.000000,0.010240,128,192.000000,0.011264
256,384.000000,0.011264,256,384.000000,0.011264
512,768.000000,0.011264,512,768.000000,0.010240
1024,1536.000000,0.012288,1024,1536.000000,0.010240
2048,3072.000000,0.011264,2048,3072.000000,0.011264
4096,6144.000000,0.011264,4096,6144.000000,0.011264
8192,12288.000000,0.011264,8192,12288.000000,0.011264
