input_single,output_single,time_single_ms,input_double,output_double,time_double_ms
4,6.000000,0.007200,4,6.000000,0.007200
8,12.000000,0.014208,8,12.000000,0.014208
16,24.000000,0.007008,16,24.000000,0.007008
32,48.000000,0.014496,32,48.000000,0.014496
64,96.000000,0.006688,64,96.000000,0.006688
128,192.000000,0.014304,128,192.000000,0.014304
256,384.000000,0.015552,256,384.000000,0.015552
512,768.000000,0.015424,512,768.000000,0.015424
1024,1536.000000,0.016416,1024,1536.000000,0.016416
2048,3072.000000,0.019872,2048,3072.000000,0.019872
4096,6144.000000,0.025184,4096,6144.000000,0.025184
8192,12288.000000,0.026464,8192,12288.000000,0.026464
