SINGLE PRECISION TESTING
-------------------------------------------------------------------
THREAD: 96.000000, 0.020291 ms
KERNEL 1: 96.000000, 0.011008 ms
KERNEL 2: 96.000000, 0.026304 ms
KERNEL 3: 96.000000, 0.010240 ms
KERNEL 4: 96.000000, 0.011264 ms
KERNEL 5: 96.000000, 0.010400 ms
KERNEL 6: 96.000000, 0.010976 ms
KERNEL 6: 96.000000, 0.010432 ms
KERNEL 6: 96.000000, 0.011264 ms
KERNEL 6: 96.000000, 0.011232 ms
KERNEL 6: 96.000000, 0.012032 ms
KERNEL 6: 96.000000, 0.011264 ms
KERNEL 6: 96.000000, 0.011936 ms
KERNEL 6: 96.000000, 0.011520 ms
KERNEL 6: 96.000000, 0.009568 ms
KERNEL 6: 96.000000, 0.011264 ms
KERNEL 6: 96.000000, 0.010240 ms
KERNEL 6: 96.000000, 0.011968 ms
KERNEL 6: 96.000000, 0.009920 ms
KERNEL 6: 96.000000, 0.010528 ms
KERNEL 6: 96.000000, 0.010240 ms
KERNEL 6: 96.000000, 0.010240 ms
CUB::REDUCE: 96.000000, 0.010304 ms
THRUST::REDUCE: 96.000000, 0.104544 ms
-------------------------------------------------------------------



-------------------------------------------------------------------
Input Size: 128 (0.000001 GB)
NO THREAD: 192.000000, 0.000256 ms
THREAD: 192.000000, 0.018229 ms
KERNEL 1: 192.000000, 0.017344 ms
KERNEL 2: 192.000000, 0.047232 ms
KERNEL 3: 192.000000, 0.040768 ms
KERNEL 4: 192.000000, 0.015648 ms
KERNEL 5: 192.000000, 0.039872 ms
KERNEL 6: 192.000000, 0.029376 ms
KERNEL 6: 192.000000, 0.015616 ms
KERNEL 6: 192.000000, 0.036864 ms
KERNEL 6: 192.000000, 0.051200 ms
KERNEL 6: 192.000000, 0.014336 ms
KERNEL 6: 192.000000, 0.031616 ms
KERNEL 6: 192.000000, 0.014112 ms
KERNEL 6: 192.000000, 0.033600 ms
KERNEL 6: 192.000000, 0.046208 ms
KERNEL 6: 192.000000, 0.033728 ms
KERNEL 6: 192.000000, 0.045408 ms
KERNEL 6: 192.000000, 0.031904 ms
