input_single, output_single, time_single_ms, input_double, output_double, time_double_ms
2, 3.000000, 0.015584,2, 3.000000, 0.015584
4, 6.000000, 0.007200,4, 6.000000, 0.007200
8, 12.000000, 0.014208,8, 12.000000, 0.014208
16, 24.000000, 0.007008,16, 24.000000, 0.007008
32, 48.000000, 0.014496,32, 48.000000, 0.014496
64, 96.000000, 0.006688,64, 96.000000, 0.006688
128, 192.000000, 0.014304,128, 192.000000, 0.014304
256, 384.000000, 0.015552,256, 384.000000, 0.015552
512, 768.000000, 0.015424,512, 768.000000, 0.015424
1024, 1536.000000, 0.016416,1024, 1536.000000, 0.016416
2048, 3072.000000, 0.019872,2048, 3072.000000, 0.019872
4096, 6144.000000, 0.025184,4096, 6144.000000, 0.025184
8192, 12288.000000, 0.026464,8192, 12288.000000, 0.026464
16384, 24576.000000, 0.047488,16384, 24576.000000, 0.047488
32768, 49152.000000, 0.097024,32768, 49152.000000, 0.097024
65536, 98304.000000, 0.172384,65536, 98304.000000, 0.172384
131072, 196608.000000, 0.337664,131072, 196608.000000, 0.337664
262144, 393216.000000, 0.669824,262144, 393216.000000, 0.669824
524288, 786432.000000, 1.333664,524288, 786432.000000, 1.333664
1048576, 1572864.000000, 2.660672,1048576, 1572864.000000, 2.660672
2097152, 3145728.000000, 5.315264,2097152, 3145728.000000, 5.315264
4194304, 6291456.000000, 9.325952,4194304, 6291456.000000, 9.325952
8388608, 13981012.000000, 18.649183,8388608, 13981012.000000, 18.649183
16777216, 30758228.000000, 37.298527,16777216, 30758228.000000, 37.298527
33554432, 33554432.000000, 74.607101,33554432, 33554432.000000, 74.607101
67108864, 33554432.000000, 149.217285,67108864, 33554432.000000, 149.217285
134217728, 33554432.000000, 298.435394,134217728, 33554432.000000, 298.435394
268435456, 33554432.000000, 596.860962,268435456, 33554432.000000, 596.860962
536870912, 33554432.000000, 1193.716431,536870912, 33554432.000000, 1193.716431
1073741824, 33554432.000000, 2387.413330,1073741824, 33554432.000000, 2387.413330
